id,energy_system_id,significant_energy_use_id,baseline_code,baseline_name,name,area_id,area_name,energy_use_id,dependent_variable,dependent_variable_unit,model_type,formula_text,intercept,coefficients,r_squared,adjusted_r_squared,reference_period_start,reference_period_end,valid_from,valid_to,static_factors,routine_adjustments,non_routine_adjustments,active,variables,ide,operational_control,equipment
1,1,6,LBEN_CEEA,LBEn Centros de engorda Empresas AquaChile,LBEn Centros de engorda Empresas AquaChile,3,Centros XI Empresas AquaChile,6,Consumo diésel,Litros,Regresión lineal,Consumo Petróleo = 56.405 * Horas Blower - 3576.8,-3576.8,"{""horas_blower"": 56.405}",0.9424,,2023-08-01,2024-10-31,2024-01-01,,"{""generadores"": ""2 por centro"", ""energetico"": ""Petróleo diésel""}",{},{},true,"[{""id"": 1, ""baseline_model_id"": 1, ""variable_name"": ""Horas Blower"", ""variable_code"": ""horas_blower"", ""variable_type"": ""operating_hours"", ""unit"": ""h"", ""required"": true, ""min_value"": 100, ""max_value"": 2000, ""description"": ""Horas de uso de blower"", ""measurement_reason"": ""Variable independiente de LBEn"", ""collection_method"": ""Wireless Smart System"", ""storage_location"": ""Plataforma SGE"", ""responsible_area"": ""Mantenimiento Centros"", ""responsible_person"": """", ""frequency"": ""Mensual"", ""missing_data_procedure"": ""Revisar dato con jefe de centro"", ""display_order"": 1, ""active"": true}]","{""id"": 1, ""ide_code"": ""IDE_1_CEEA"", ""ide_name"": ""Intensidad energética del petróleo en Centros de engorda Empresas AquaChile"", ""definition"": ""Relación entre consumo de petróleo diésel y horas de uso de sopladores"", ""purpose"": ""Medir eficiencia del consumo de combustible y uso óptimo de sopladores"", ""area_monitored"": ""Mantenimiento de Centros"", ""formula_text"": ""real_consumption / horas_blower"", ""numerator"": ""consumo_diesel_real"", ""denominator"": ""horas_blower"", ""unit"": ""L/h"", ""frequency"": ""Mensual"", ""monitoring_period"": ""Mensual"", ""expected_range_min"": 45, ""expected_range_max"": 70, ""warning_threshold_percentage"": 10, ""critical_threshold_percentage"": 20, ""data_origin"": ""SAP/Excel + Wireless Smart System"", ""protocol_description"": """", ""active"": true}","{""control_name"": ""Control operación blower"", ""technical_criteria"": ""Verificar régimen horario y caudal de blower"", ""administrative_criteria"": ""Registro mensual de operación"", ""maintenance_criteria"": ""Mantenimiento preventivo mensual"", ""responsible_area"": ""Mantenimiento Centros"", ""responsible_person"": ""Jefe de centros"", ""record_type"": ""Bitácora"", ""record_frequency"": ""Mensual"", ""training_required"": true, ""last_training_date"": ""2024-01-15"", ""effectiveness_evaluation_method"": ""Revisión de desviación IDE"", ""status"": ""active"", ""active"": true}","[{""equipment"": ""blower"", ""brand"": ""Generic"", ""classification"": ""Soplador"", ""quantity_per_center"": 4, ""power_kw"": 7.5, ""hours_per_day"": 14, ""has_consumption_meter"": true, ""connected_to_grid"": true, ""powered_by_generator"": false}, {""equipment"": ""generador diésel"", ""brand"": ""Cummins"", ""classification"": ""Generación respaldo"", ""quantity_per_center"": 2, ""power_kw"": 120, ""hours_per_day"": 6, ""has_consumption_meter"": true, ""connected_to_grid"": false, ""powered_by_generator"": true}]"
2,1,4,LBEN_CEAM,LBEn Centros de engorda AquaChile Magallanes,LBEn Centros de engorda AquaChile Magallanes,2,Centros XII AquaChile Magallanes,4,Consumo diésel,Litros,Regresión múltiple,Consumo Petróleo = -27226.62 -53.98*Horas Blower + 1.951*Kwh Blower,-27226.62,"{""horas_blower"": -53.9796, ""kwh_blower"": 1.9511}",0.8387,0.8064,2023-10-01,2024-10-31,2024-01-01,,"{""generadores"": ""2 por centro"", ""energetico"": ""Petróleo diésel""}",{},{},true,"[{""id"": 2, ""baseline_model_id"": 2, ""variable_name"": ""Horas Blower"", ""variable_code"": ""horas_blower"", ""variable_type"": ""operating_hours"", ""unit"": ""h"", ""required"": true, ""min_value"": 0, ""max_value"": 3000, ""description"": ""Horas de uso de blower"", ""measurement_reason"": ""Variable independiente de LBEn"", ""collection_method"": ""Wireless Smart System"", ""storage_location"": ""Plataforma SGE"", ""responsible_area"": ""Mantenimiento Centros"", ""responsible_person"": """", ""frequency"": ""Mensual"", ""missing_data_procedure"": ""Revisar dato con jefe de centro"", ""display_order"": 1, ""active"": true}, {""id"": 3, ""baseline_model_id"": 2, ""variable_name"": ""Energía consumida Blower"", ""variable_code"": ""kwh_blower"", ""variable_type"": ""electricity_consumption"", ""unit"": ""kWh"", ""required"": true, ""min_value"": 0, ""max_value"": 200000, ""description"": ""Energía eléctrica consumida por blower"", ""measurement_reason"": ""Variable independiente de LBEn"", ""collection_method"": ""Medidor eléctrico / WSS"", ""storage_location"": ""Plataforma SGE"", ""responsible_area"": ""Mantenimiento Centros"", ""responsible_person"": """", ""frequency"": ""Mensual"", ""missing_data_procedure"": ""Revisar medidor o estimar con respaldo"", ""display_order"": 2, ""active"": true}]","{""id"": 2, ""ide_code"": ""IDE_2_CEAM"", ""ide_name"": ""Intensidad energética del petróleo en Centros de engorda Magallanes"", ""definition"": ""Relación entre consumo de petróleo diésel horas de uso y consumo eléctrico blower"", ""purpose"": ""Medir eficiencia del consumo de combustible y uso óptimo de sopladores"", ""area_monitored"": ""Mantenimiento de Centros"", ""formula_text"": ""real_consumption * 1000 / (kwh_blower * horas_blower)"", ""numerator"": ""consumo_diesel_real"", ""denominator"": ""kwh_blower"", ""unit"": ""L/(kWh*h)"", ""frequency"": ""Mensual"", ""monitoring_period"": ""Mensual"", ""expected_range_min"": 0.15, ""expected_range_max"": 0.45, ""warning_threshold_percentage"": 10, ""critical_threshold_percentage"": 20, ""data_origin"": ""SAP/Excel + Wireless Smart System"", ""protocol_description"": """", ""active"": true}","{""control_name"": ""Control consumo diésel centros"", ""technical_criteria"": ""Verificar horas blower y consumo de diésel"", ""administrative_criteria"": ""Registro mensual de operación"", ""maintenance_criteria"": ""Mantenimiento preventivo mensual"", ""responsible_area"": ""Mantenimiento Centros"", ""responsible_person"": ""Jefe de centros"", ""record_type"": ""Bitácora"", ""record_frequency"": ""Mensual"", ""training_required"": true, ""last_training_date"": ""2024-01-20"", ""effectiveness_evaluation_method"": ""Revisión de desviación IDE"", ""status"": ""active"", ""active"": true}","[{""equipment"": ""blower"", ""brand"": ""Generic"", ""classification"": ""Soplador"", ""quantity_per_center"": 5, ""power_kw"": 8.2, ""hours_per_day"": 15, ""has_consumption_meter"": true, ""connected_to_grid"": true, ""powered_by_generator"": false}, {""equipment"": ""generador diésel"", ""brand"": ""Caterpillar"", ""classification"": ""Generación respaldo"", ""quantity_per_center"": 2, ""power_kw"": 150, ""hours_per_day"": 7, ""has_consumption_meter"": true, ""connected_to_grid"": false, ""powered_by_generator"": true}]"
3,1,1,LBEN_CALDERA_GLP,LBEn Hollemberg Caldera GLP,LBEn Hollemberg Caldera GLP,1,Hollemberg,1,Consumo GLP,Litros,Regresión múltiple,Consumo GLP = 10000 + 5000*dummy_mes + 300*delta_temperatura - 250*temperatura_ambiente,10000,"{""dummy_mes"": 5000, ""delta_temperatura"": 300, ""temperatura_ambiente"": -250}",0.82,,2022-02-01,2025-12-31,2024-01-01,,"{""equipo"": ""Caldera"", ""energetico"": ""GLP""}",{},{},true,"[{""id"": 4, ""baseline_model_id"": 3, ""variable_name"": ""Temperatura ambiente"", ""variable_code"": ""temperatura_ambiente"", ""variable_type"": ""ambient_temperature"", ""unit"": ""°C"", ""required"": true, ""min_value"": -10, ""max_value"": 30, ""description"": ""Temperatura mensual ambiente"", ""measurement_reason"": ""Ajuste rutinario de caldera"", ""collection_method"": ""Registro meteorológico"", ""storage_location"": ""Planilla SGE"", ""responsible_area"": ""Piscicultura Hollemberg"", ""responsible_person"": """", ""frequency"": ""Mensual"", ""missing_data_procedure"": ""Usar promedio mensual validado"", ""display_order"": 1, ""active"": true}, {""id"": 5, ""baseline_model_id"": 3, ""variable_name"": ""Dummy mes"", ""variable_code"": ""dummy_mes"", ""variable_type"": ""other"", ""unit"": ""adimensional"", ""required"": true, ""min_value"": 0, ""max_value"": 1, ""description"": ""Variable estacional de la LBEn"", ""measurement_reason"": ""Ajuste estadístico"", ""collection_method"": ""Calculado automáticamente"", ""storage_location"": ""Sistema SGE"", ""responsible_area"": ""Piscicultura Hollemberg"", ""responsible_person"": """", ""frequency"": ""Mensual"", ""missing_data_procedure"": ""Asignar según mes"", ""display_order"": 2, ""active"": true}, {""id"": 6, ""baseline_model_id"": 3, ""variable_name"": ""Diferencia de temperatura"", ""variable_code"": ""delta_temperatura"", ""variable_type"": ""other"", ""unit"": ""K"", ""required"": true, ""min_value"": 0, ""max_value"": 400, ""description"": ""Diferencia térmica del proceso"", ""measurement_reason"": ""Variable independiente de LBEn"", ""collection_method"": ""Calculado automáticamente"", ""storage_location"": ""Sistema SGE"", ""responsible_area"": ""Piscicultura Hollemberg"", ""responsible_person"": """", ""frequency"": ""Mensual"", ""missing_data_procedure"": ""Recalcular desde temperaturas"", ""display_order"": 3, ""active"": true}]","{""id"": 3, ""ide_code"": ""IDE_3_CALDERA_GLP"", ""ide_name"": ""Intensidad energética Caldera GLP"", ""definition"": ""Relación entre consumo GLP y variable térmica"", ""purpose"": ""Medir eficiencia de la caldera"", ""area_monitored"": ""Piscicultura Hollemberg"", ""formula_text"": ""real_consumption / delta_temperatura"", ""numerator"": ""consumo_glp_real"", ""denominator"": ""delta_temperatura"", ""unit"": ""L/K"", ""frequency"": ""Mensual"", ""monitoring_period"": ""Mensual"", ""expected_range_min"": 100, ""expected_range_max"": 500, ""warning_threshold_percentage"": 10, ""critical_threshold_percentage"": 20, ""data_origin"": ""Planilla + sensor temperatura"", ""protocol_description"": """", ""active"": true}","{""control_name"": ""Control operación caldera GLP"", ""technical_criteria"": ""Verificar temperatura y consumo GLP"", ""administrative_criteria"": ""Registro mensual de operación"", ""maintenance_criteria"": ""Mantenimiento preventivo mensual"", ""responsible_area"": ""Piscicultura Hollemberg"", ""responsible_person"": ""Jefe de piscicultura"", ""record_type"": ""Bitácora"", ""record_frequency"": ""Mensual"", ""training_required"": true, ""last_training_date"": ""2024-01-10"", ""effectiveness_evaluation_method"": ""Revisión de desviación IDE"", ""status"": ""active"", ""active"": true}","[{""equipment"": ""caldera GLP"", ""brand"": ""Baxi"", ""classification"": ""Caldera"", ""quantity_per_center"": 1, ""power_kw"": 85, ""hours_per_day"": 10, ""has_consumption_meter"": true, ""connected_to_grid"": false, ""powered_by_generator"": true}, {""equipment"": ""generador GLP"", ""brand"": ""Generac"", ""classification"": ""Generación principal"", ""quantity_per_center"": 1, ""power_kw"": 90, ""hours_per_day"": 8, ""has_consumption_meter"": true, ""connected_to_grid"": false, ""powered_by_generator"": true}]"
4,1,2,LBEN_GEN_GLP,LBEn Hollemberg Generador GLP,LBEn Hollemberg Generador GLP,1,Hollemberg,2,Consumo GLP,Litros,Regresión lineal,Consumo GLP = 8703.8 + 0.7354 * kwh_generados,8703.8,"{""kwh_generados"": 0.7354}",0.8167,,2023-01-01,2025-12-31,2024-01-01,,"{""equipo"": ""Generador GLP""}",{},{},true,"[{""id"": 7, ""baseline_model_id"": 4, ""variable_name"": ""Electricidad generada"", ""variable_code"": ""kwh_generados"", ""variable_type"": ""generated_energy"", ""unit"": ""kWh"", ""required"": true, ""min_value"": 0, ""max_value"": 1000000, ""description"": ""Energía generada por generador GLP"", ""measurement_reason"": ""Variable independiente de LBEn"", ""collection_method"": ""Medidor generador"", ""storage_location"": ""Plataforma SGE"", ""responsible_area"": ""Piscicultura Hollemberg"", ""responsible_person"": """", ""frequency"": ""Mensual"", ""missing_data_procedure"": ""Revisar horómetro/medidor"", ""display_order"": 1, ""active"": true}]","{""id"": 4, ""ide_code"": ""IDE_4_PGEN_GLP"", ""ide_name"": ""Intensidad energética Generador GLP"", ""definition"": ""Relación entre GLP consumido y electricidad generada"", ""purpose"": ""Medir eficiencia de generación GLP"", ""area_monitored"": ""Piscicultura Hollemberg"", ""formula_text"": ""real_consumption / kwh_generados"", ""numerator"": ""consumo_glp_real"", ""denominator"": ""kwh_generados"", ""unit"": ""L/kWh"", ""frequency"": ""Mensual"", ""monitoring_period"": ""Mensual"", ""expected_range_min"": 5, ""expected_range_max"": 30, ""warning_threshold_percentage"": 10, ""critical_threshold_percentage"": 20, ""data_origin"": ""Planilla + medidor generador"", ""protocol_description"": """", ""active"": true}","{""control_name"": ""Control generador GLP"", ""technical_criteria"": ""Verificar consumo y salida eléctrica"", ""administrative_criteria"": ""Registro mensual de operación"", ""maintenance_criteria"": ""Mantenimiento preventivo mensual"", ""responsible_area"": ""Piscicultura Hollemberg"", ""responsible_person"": ""Jefe de piscicultura"", ""record_type"": ""Bitácora"", ""record_frequency"": ""Mensual"", ""training_required"": true, ""last_training_date"": ""2024-01-10"", ""effectiveness_evaluation_method"": ""Revisión de desviación IDE"", ""status"": ""active"", ""active"": true}","[{""equipment"": ""generador GLP"", ""brand"": ""Generac"", ""classification"": ""Generación principal"", ""quantity_per_center"": 1, ""power_kw"": 110, ""hours_per_day"": 8, ""has_consumption_meter"": true, ""connected_to_grid"": false, ""powered_by_generator"": true}]"
5,1,3,LBEN_GEN_DIESEL,LBEn Hollemberg Generador Diésel,LBEn Hollemberg Generador Diésel,1,Hollemberg,3,Consumo diésel,Litros,Regresión lineal,Consumo Diésel = 25088 + 0.2139 * kwh_generados,25088,"{""kwh_generados"": 0.2139}",0.8167,,2022-01-01,2025-12-31,2024-01-01,,"{""equipo"": ""Generador diésel""}",{},{},true,"[{""id"": 8, ""baseline_model_id"": 5, ""variable_name"": ""Electricidad generada"", ""variable_code"": ""kwh_generados"", ""variable_type"": ""generated_energy"", ""unit"": ""kWh"", ""required"": true, ""min_value"": 0, ""max_value"": 1000000, ""description"": ""Energía generada por generador diésel"", ""measurement_reason"": ""Variable independiente de LBEn"", ""collection_method"": ""Medidor generador"", ""storage_location"": ""Plataforma SGE"", ""responsible_area"": ""Piscicultura Hollemberg"", ""responsible_person"": """", ""frequency"": ""Mensual"", ""missing_data_procedure"": ""Revisar horómetro/medidor"", ""display_order"": 1, ""active"": true}]","{""id"": 5, ""ide_code"": ""IDE_5_PGEN_DIESEL"", ""ide_name"": ""Intensidad energética Generador Diésel"", ""definition"": ""Relación entre diésel consumido y electricidad generada"", ""purpose"": ""Medir eficiencia de generación diésel"", ""area_monitored"": ""Piscicultura Hollemberg"", ""formula_text"": ""real_consumption / kwh_generados"", ""numerator"": ""consumo_diesel_real"", ""denominator"": ""kwh_generados"", ""unit"": ""L/kWh"", ""frequency"": ""Mensual"", ""monitoring_period"": ""Mensual"", ""expected_range_min"": 10, ""expected_range_max"": 50, ""warning_threshold_percentage"": 10, ""critical_threshold_percentage"": 20, ""data_origin"": ""Planilla + medidor generador"", ""protocol_description"": """", ""active"": true}","{""control_name"": ""Control generador diésel"", ""technical_criteria"": ""Verificar consumo y salida eléctrica"", ""administrative_criteria"": ""Registro mensual de operación"", ""maintenance_criteria"": ""Mantenimiento preventivo mensual"", ""responsible_area"": ""Piscicultura Hollemberg"", ""responsible_person"": ""Jefe de piscicultura"", ""record_type"": ""Bitácora"", ""record_frequency"": ""Mensual"", ""training_required"": true, ""last_training_date"": ""2024-01-10"", ""effectiveness_evaluation_method"": ""Revisión de desviación IDE"", ""status"": ""active"", ""active"": true}","[{""equipment"": ""generador diésel"", ""brand"": ""Perkins"", ""classification"": ""Generación respaldo"", ""quantity_per_center"": 1, ""power_kw"": 120, ""hours_per_day"": 7, ""has_consumption_meter"": true, ""connected_to_grid"": false, ""powered_by_generator"": true}]"
