id,energy_system_id,significant_energy_use_id,baseline_model_id,area_id,energy_use_id,ide_code,ide_name,definition,purpose,area_monitored,formula_text,numerator,denominator,unit,frequency,monitoring_period,expected_range_min,expected_range_max,warning_threshold_percentage,critical_threshold_percentage,data_origin,protocol_description,active
1,1,6,1,3,6,IDE_1_CEEA,Intensidad energética del petróleo en Centros de engorda Empresas AquaChile,Relación entre consumo de petróleo diésel y horas de uso de sopladores,Medir eficiencia del consumo de combustible y uso óptimo de sopladores,Mantenimiento de Centros,real_consumption / horas_blower,consumo_diesel_real,horas_blower,L/h,Mensual,Mensual,45,70,10,20,SAP/Excel + Wireless Smart System,,true
2,1,4,2,2,4,IDE_2_CEAM,Intensidad energética del petróleo en Centros de engorda Magallanes,Relación entre consumo de petróleo diésel horas de uso y consumo eléctrico blower,Medir eficiencia del consumo de combustible y uso óptimo de sopladores,Mantenimiento de Centros,real_consumption * 1000 / (kwh_blower * horas_blower),consumo_diesel_real,kwh_blower,L/(kWh*h),Mensual,Mensual,0.15,0.45,10,20,SAP/Excel + Wireless Smart System,,true
3,1,1,3,1,1,IDE_3_CALDERA_GLP,Intensidad energética Caldera GLP,Relación entre consumo GLP y variable térmica,Medir eficiencia de la caldera,Piscicultura Hollemberg,real_consumption / delta_temperatura,consumo_glp_real,delta_temperatura,L/K,Mensual,Mensual,100,500,10,20,Planilla + sensor temperatura,,true
4,1,2,4,1,2,IDE_4_PGEN_GLP,Intensidad energética Generador GLP,Relación entre GLP consumido y electricidad generada,Medir eficiencia de generación GLP,Piscicultura Hollemberg,real_consumption / kwh_generados,consumo_glp_real,kwh_generados,L/kWh,Mensual,Mensual,5,30,10,20,Planilla + medidor generador,,true
5,1,3,5,1,3,IDE_5_PGEN_DIESEL,Intensidad energética Generador Diésel,Relación entre diésel consumido y electricidad generada,Medir eficiencia de generación diésel,Piscicultura Hollemberg,real_consumption / kwh_generados,consumo_diesel_real,kwh_generados,L/kWh,Mensual,Mensual,10,50,10,20,Planilla + medidor generador,,true
