id,energy_system_id,energy_use_base_year_id,area_id,name,use_name,energy_source,selection_status,selection_criteria,physical_consumption,physical_unit,energy_consumption_tcal,relevant_variables_text,current_energy_performance,current_energy_performance_unit,measurement_date,influential_personnel,deviation_range,observations,active
1,1,1,1,Piscicultura Hollemberg - Caldera GLP,Piscicultura Hollemberg - Caldera GLP,GLP,Con LBEn e IDEs,Consumo real,822938,Litros,15.46,Temperatura ambiente; Temperatura de funcionamiento; Petróleo consumido; GLP consumido,21.9,Litros/Kelvin,2024-12,Jefe de piscicultura,20% de desviación,,true
2,1,1,1,Piscicultura Hollemberg - Generador GLP,Piscicultura Hollemberg - Generador GLP,GLP,Con LBEn e IDEs,Consumo real,1313743,Litros,8.21,Electricidad generada; GLP consumido,77.57,Litros/kWh,2024-12,Jefe de piscicultura,20% de desviación,,true
3,1,1,1,Piscicultura Hollemberg - Generador Diésel,Piscicultura Hollemberg - Generador Diésel,Petróleo Diésel,Con LBEn e IDEs,Consumo real,1208800,Litros,11.07,Electricidad generada; Petróleo consumido,25.64,Litros/kWh,2024-12,Jefe de piscicultura,20% de desviación,,true
4,1,2,2,Centros XII AquaChile Magallanes - Generador Diésel,Centros XII AquaChile Magallanes - Generador Diésel,Petróleo Diésel,Con LBEn e IDEs,Consumo real,1006578,Litros,9.216,Horas de uso Blower; Energía consumida Blower; Petróleo consumido,0.2925,Litros/Horas*kWh,2024-12,Jefe de Centros Magallanes,20% de desviación,,true
5,1,2,2,Centros XII AquaChile Magallanes - Blower Electricidad,Centros XII AquaChile Magallanes - Blower Electricidad,Electricidad,Con LBEn e IDEs,Consumo real,4458700,kWh,3.838,Horas de uso Blower; Energía consumida Blower,0,kWh,2024-12,Jefe de Centros Magallanes,20% de desviación,,true
6,1,3,3,Centros XI Empresas AquaChile - Generador Diésel,Centros XI Empresas AquaChile - Generador Diésel,Petróleo Diésel,Con LBEn e IDEs,Consumo real,868372,Litros,7.951,Horas de uso Blower; Petróleo consumido,43.31,L/hrs,2024-12,Jefe de Centros XI,20% de desviación,,true
7,1,3,3,Centros XI Empresas AquaChile - Blower Electricidad,Centros XI Empresas AquaChile - Blower Electricidad,Electricidad,Con LBEn e IDEs,Consumo real,3843382,kWh,3.311,Horas de uso Blower; Energía consumida Blower,0,kWh,2024-12,Jefe de Centros XI,20% de desviación,,true
