id,baseline_model_id,variable_name,variable_code,variable_type,unit,required,min_value,max_value,description,measurement_reason,collection_method,storage_location,responsible_area,responsible_person,frequency,missing_data_procedure,display_order,active
1,1,Horas Blower,horas_blower,operating_hours,h,true,100,2000,Horas de uso de blower,Variable independiente de LBEn,Wireless Smart System,Plataforma SGE,Mantenimiento Centros,,Mensual,Revisar dato con jefe de centro,1,true
2,2,Horas Blower,horas_blower,operating_hours,h,true,0,3000,Horas de uso de blower,Variable independiente de LBEn,Wireless Smart System,Plataforma SGE,Mantenimiento Centros,,Mensual,Revisar dato con jefe de centro,1,true
3,2,Energía consumida Blower,kwh_blower,electricity_consumption,kWh,true,0,200000,Energía eléctrica consumida por blower,Variable independiente de LBEn,Medidor eléctrico / WSS,Plataforma SGE,Mantenimiento Centros,,Mensual,Revisar medidor o estimar con respaldo,2,true
4,3,Temperatura ambiente,temperatura_ambiente,ambient_temperature,°C,true,-10,30,Temperatura mensual ambiente,Ajuste rutinario de caldera,Registro meteorológico,Planilla SGE,Piscicultura Hollemberg,,Mensual,Usar promedio mensual validado,1,true
5,3,Dummy mes,dummy_mes,other,adimensional,true,0,1,Variable estacional de la LBEn,Ajuste estadístico,Calculado automáticamente,Sistema SGE,Piscicultura Hollemberg,,Mensual,Asignar según mes,2,true
6,3,Diferencia de temperatura,delta_temperatura,other,K,true,0,400,Diferencia térmica del proceso,Variable independiente de LBEn,Calculado automáticamente,Sistema SGE,Piscicultura Hollemberg,,Mensual,Recalcular desde temperaturas,3,true
7,4,Electricidad generada,kwh_generados,generated_energy,kWh,true,0,1000000,Energía generada por generador GLP,Variable independiente de LBEn,Medidor generador,Plataforma SGE,Piscicultura Hollemberg,,Mensual,Revisar horómetro/medidor,1,true
8,5,Electricidad generada,kwh_generados,generated_energy,kWh,true,0,1000000,Energía generada por generador diésel,Variable independiente de LBEn,Medidor generador,Plataforma SGE,Piscicultura Hollemberg,,Mensual,Revisar horómetro/medidor,1,true
