id,energy_system_id,baseline_model_id,significant_energy_use_id,element,description,data_measured,measurement_reason,collection_method,storage_location,responsible_area,responsible_person,frequency,missing_data_procedure,report_section,active
1,1,1,6,Horas Blower,Horas de uso de blower,Horas Blower,Variable independiente de LBEn,Wireless Smart System,Plataforma SGE,Mantenimiento Centros,Sin asignar,Mensual,Revisar dato con jefe de centro,Art. 22,true
2,1,2,4,Horas Blower,Horas de uso de blower,Horas Blower,Variable independiente de LBEn,Wireless Smart System,Plataforma SGE,Mantenimiento Centros,Sin asignar,Mensual,Revisar dato con jefe de centro,Art. 22,true
3,1,2,4,Energía consumida Blower,Energía eléctrica consumida por blower,Energía consumida Blower,Variable independiente de LBEn,Medidor eléctrico / WSS,Plataforma SGE,Mantenimiento Centros,Sin asignar,Mensual,Revisar medidor o estimar con respaldo,Art. 22,true
4,1,3,1,Temperatura ambiente,Temperatura mensual ambiente,Temperatura ambiente,Ajuste rutinario de caldera,Registro meteorológico,Planilla SGE,Piscicultura Hollemberg,Sin asignar,Mensual,Usar promedio mensual validado,Art. 22,true
5,1,3,1,Dummy mes,Variable estacional de la LBEn,Dummy mes,Ajuste estadístico,Calculado automáticamente,Sistema SGE,Piscicultura Hollemberg,Sin asignar,Mensual,Asignar según mes,Art. 22,true
6,1,3,1,Diferencia de temperatura,Diferencia térmica del proceso,Diferencia de temperatura,Variable independiente de LBEn,Calculado automáticamente,Sistema SGE,Piscicultura Hollemberg,Sin asignar,Mensual,Recalcular desde temperaturas,Art. 22,true
7,1,4,2,Electricidad generada,Energía generada por generador GLP,Electricidad generada,Variable independiente de LBEn,Medidor generador,Plataforma SGE,Piscicultura Hollemberg,Sin asignar,Mensual,Revisar horómetro/medidor,Art. 22,true
8,1,5,3,Electricidad generada,Energía generada por generador diésel,Electricidad generada,Variable independiente de LBEn,Medidor generador,Plataforma SGE,Piscicultura Hollemberg,Sin asignar,Mensual,Revisar horómetro/medidor,Art. 22,true
